2024-07-22 21:06:49 | CRITICAL | __main__   | This is a critical message : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00440245 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00445029 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00455663 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00461136 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00480129 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00483106 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00500500 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00502567 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00527826 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00543712 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00576173 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00586898 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00599924 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00609531 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00625742 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00639795 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00650312 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00676273 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00679341 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00718952 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00720031 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00728156 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00730301 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00749112 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00752310 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00785213 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00787254 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00806273 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00806936 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00812344 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00846703 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00862446 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00867958 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00886158 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00894712 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00904202 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00917891 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00926523 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00931983 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00943865 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00954850 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00959569 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00962364 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00965900 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00970866 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00989261 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00994786 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01000155 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01009359 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01032109 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01051414 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01064752 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01078051 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01082549 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01084993 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01088750 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01098383 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01116882 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01116973 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01117181 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01118871 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01175044 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01177891 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01184638 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01205334 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01214096 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01217671 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01218737 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01228279 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01236417 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01261832 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01312012 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01313676 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01314898 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01320579 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01322464 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01346436 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01349413 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01352598 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01373684 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01391780 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01401335 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01410890 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01424020 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01440296 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01446094 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01483118 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01490034 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01491295 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01491763 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01497639 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01501201 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01518946 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01531257 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01567605 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01579604 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01581749 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01602081 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01604187 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01614041 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01630954 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01631058 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01639664 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01642875 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01650792 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01664507 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01665417 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01669369 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01680081 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01684501 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01696617 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01700790 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01701219 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01709981 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01711801 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01715584 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01715714 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01717911 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01720394 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01728194 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01735955 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01742117 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01743755 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01757717 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01765231 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01768195 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01770340 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01774019 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01793519 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01793831 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01794793 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01799681 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01801072 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01803438 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01803828 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01806558 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01807897 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01809041 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01815580 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01816997 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01822262 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01824537 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01846507 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01850147 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01856491 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01857167 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01866800 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01884337 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01888965 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01890759 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01891383 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01891513 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01895946 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01907230 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01908465 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01909934 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01911650 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01912651 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01912677 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01929434 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01932996 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01942109 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01942915 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01943409 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01943812 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01944800 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01959061 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01959425 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01963754 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01967420 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01978028 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01980680 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01991743 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01993836 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01994382 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01996436 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01997112 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT01997580 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02003339 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02015494 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02015923 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02019160 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02019628 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02022709 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02034019 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02035800 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02035904 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02041299 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02042287 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02046395 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02053246 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02055053 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02056288 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02056301 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02056626 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02062489 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02068365 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02072811 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02077556 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02083991 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02092467 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02101554 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02102243 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02105090 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02106598 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02106624 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02109081 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02112734 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02117986 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02118467 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02121145 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02137369 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02137538 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02141061 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02145026 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02150590 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02152696 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02156999 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02162433 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02164734 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02167022 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02175186 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02186600 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02186782 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02195024 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02196285 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02200978 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02201316 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02202369 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02203019 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02205502 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02205931 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02208739 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02209545 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02219880 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02222272 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02224040 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02225548 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02226887 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02227992 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02231892 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02242188 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02243553 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02245256 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02247128 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02251249 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02254668 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02256943 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02256956 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02257580 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02260206 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02260700 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02267616 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02269137 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02270970 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02273791 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02277041 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02277067 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02281643 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02282319 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02283905 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02283996 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02284737 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02287259 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02295202 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02298504 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02299063 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02299947 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02301039 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02301962 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02303171 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02312076 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02312089 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02312960 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02314559 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02315287 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02316886 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02318446 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02321202 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02321839 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02322203 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02323399 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02330705 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02330757 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02332291 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02334631 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02334722 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02337764 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02339844 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02339974 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02340169 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02344888 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02348918 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT02350439 : 
